object_id,title,alt_text,featured,creator,description,source_url,period,year,medium_genre,subjects,source,credit,thumbnail,dimensions
id_objeto,titulo,texto_alt,destacado,creador,descripcion,url_fuente,periodo,año,medio_genero,temas,fuente,credito,miniatura,dimensiones
# Make it lower-case and avoid spaces. If you are referring to a local object please ensure the object_id matches the name of the file exactly (with or without the file extension – it doesn't matter).,# Please provide a title — this is required.,"# Describe what the image shows for screen readers. Mention the subject and key details. Avoid ""Image of..."" — describe the content directly. If empty, the title is used.","# Mark ""yes"" to feature on homepage",# The person or organization that created the original object.,"# A brief description of the object, shown on the objects page of your published site.",# Here you can include a IIIF manifest and Telar will do the rest of the work for you.,"# The historical period this object belongs to (e.g. ""Colonial period"", ""19th century"").",# In YYYY format — for filtering and sorting chronologically.,"# The medium or genre of the object (e.g. ""Map"", ""Photograph"", ""Engraving"").",# Comma-separated terms for gallery filtering,"# This will be overlaid over the viewer, unless you specify otherwise in _config.yml.","# Attribution line shown on the published site (e.g. ""Courtesy of UCSB Library"").","# Telar generates thumbnails automatically, but you can override this by specifying an image file in this column."
"# Escríbelo en minúsculas y sin espacios. Si hace referencia a un objeto local, asegúrate de que el object_id coincida exactamente con el nombre del archivo (con o sin extensión; no importa).",# Incluye un título: este campo es obligatorio.,"# Describe lo que muestra la imagen para lectores de pantalla. Menciona el sujeto y los detalles clave. Evita ""Imagen de..."" — describe el contenido directamente. Si se deja vacío, se usa el título.","# Marca ""sí"" para destacar en la página de inicio",# La persona u organización que creó el objeto original.,"# Una breve descripción del objeto, que se muestra en la página de objetos de tu sitio publicado.",# Aquí puedes incluir un manifiesto IIIF y Telar se encargará del resto del trabajo.,"# El período histórico al que pertenece este objeto (por ejemplo, ""Período colonial"", ""Siglo XIX"").",# En formato AAAA — para filtrar y ordenar cronológicamente.,"# El medio o género del objeto (por ejemplo, ""Mapa"", ""Fotografía"", ""Grabado"").",# Términos separados por comas para filtrado de galería,"# Esto se mostrará encima del visor, a menos que indiques lo contrario en _config.yml.","# Línea de atribución que se muestra en el sitio publicado (por ejemplo, ""Cortesía de la Biblioteca de UCSB"").","# Telar genera miniaturas automáticamente, pero puedes anular este comportamiento especificando un archivo de imagen en esta columna."
codex-selden-anute,Codex Selden / Añute — p. 006,Codex Selden / Añute — p. 006,,,,https://juancobo.com/138la/iiif/selden/p7/manifest.json,,,,,"Bodleian Libraries, University of Oxford","Photo: © Bodleian Libraries, University of Oxford. Terms of use: CC BY-NC 4.0. See https://digital.bodleian.ox.ac.uk/terms/","https://iiif.bodleian.ox.ac.uk/iiif/image/1e86c5fc-112a-4cf0-8f1d-2a4881924e97/full/400,/0/default.jpg",
florentine-codex-book,"Florentine Codex, Book 2","Florentine Codex, Book 2",,,,https://juancobo.com/138la/iiif/florentine-b02/manifest.json,,XVIs,,,"Biblioteca Medicea Laurenziana, Florence (MiBACT)",Getty,"https://media.getty.edu/iiif/image/1336585f-2697-4189-864c-4a56238d7132/full/400,/0/default.jpg",
florentine-codex-book-2,"Florentine Codex, Book 2 — fol. 7v","Florentine Codex, Book 2 — fol. 7v",,,,https://juancobo.com/138la/iiif/florentine-b02/p16/manifest.json,,,,,"Biblioteca Medicea Laurenziana, Florence (MiBACT)",Getty,"https://media.getty.edu/iiif/image/b6eaa843-6098-4cc2-bb7b-b88b3b7e8097/full/400,/0/default.jpg",
florentine-codex-book-3,"Florentine Codex, Book 6 — fol. 155r","Florentine Codex, Book 6 — fol. 155r",,,,https://juancobo.com/138la/iiif/florentine-b06/p320/manifest.json,,,,,"Biblioteca Medicea Laurenziana, Florence (MiBACT)",Getty,"https://media.getty.edu/iiif/image/f0efdc34-c314-4e0e-9266-48f301c0a22e/full/400,/0/default.jpg",
florentine-codex-book-4,"Florentine Codex, Book 9 — fol. 65v","Florentine Codex, Book 9 — fol. 65v",,,,https://juancobo.com/138la/iiif/florentine-b09/p135/manifest.json,,,,,"Biblioteca Medicea Laurenziana, Florence (MiBACT)",Getty,"https://media.getty.edu/iiif/image/cc0ce460-0b14-409a-a136-d693a7b4e2b3/full/400,/0/default.jpg",
guaman-poma-nueva,"Guamán Poma, Nueva corónica y buen gobierno — Page 258","Guamán Poma, Nueva corónica y buen gobierno — Page 258",,,,https://juancobo.com/138la/iiif/poma/p259/manifest.json,,,,,"Det Kongelige Bibliotek, Copenhagen",Det Kongelige Bibliotek,"https://s3.us-west-001.backblazeb2.com/juancobo-138la-iiif/poma/poma0258/full/208,293/0/default.jpg",
haptic-khipu-khipu,Haptic khipu — Khipu,Haptic khipu — Khipu,,,,https://juancobo.com/138la/iiif/khipu/p1/manifest.json,,,,,"Art, Design & Architecture Museum, UC Santa Barbara","Material/Image Research Lab, UC Santa Barbara","https://khipu.mirl.arthistory.ucsb.edu/iiif/objects/image3/full/96,64/0/default.jpg",
img2305,organic system,organic system,,,,,,,,,,,,
leo-2,Cloth (with fringe) made of cotton,,,,,https://drive.google.com/file/d/1vVLDcAgNLoDF7pqBWG6MAmDuywkYMxKE/view?usp=sharing,,,,,,,,
leo1,Muisca painted manta,,,,Painted textile made of cotton. Plain weave with paired warps and vertical stripe in supplementary warp pattern in brown along each edge; fringe along the bottom edge. Painted designs in brown and blue depict geometric interlocking panels and a seated figure.,https://drive.google.com/file/d/1FoMqdNdS-aZ2llW1ZAEigOfHUZi2ZsWx/view?usp=sharing,,,,,,,,
telar-placeholder,Telar placeholder,Telar placeholder,,Adelaida Ávila,,,,2026,,,,,,
